t,tf_t,x,y,theta,yaw_deg,reason
1781809891.862359,1781809891.822922,-1.982058,1.754646,-0.067595,-3.873,time
1781809892.412338,1781809892.367136,-1.982058,1.754646,-0.067422,-3.863,time
1781809892.912424,1781809892.870153,-1.982058,1.754646,-0.067206,-3.851,time
1781809893.462336,1781809893.417138,-1.982058,1.754646,-0.066957,-3.836,time
1781809893.962385,1781809893.917196,-1.982058,1.754646,-0.066795,-3.827,time
1781809894.462395,1781809894.417373,-1.982058,1.754646,-0.066589,-3.815,time
1781809895.012508,1781809894.967206,-1.982058,1.754646,-0.066355,-3.802,time
1781809895.562361,1781809895.517264,-1.982058,1.754646,-0.066182,-3.792,time
1781809896.062625,1781809896.017096,-1.982058,1.754646,-0.065989,-3.781,time
1781809896.612406,1781809896.567160,-1.982058,1.754646,-0.065747,-3.767,time
1781809897.162451,1781809897.117037,-1.982058,1.754646,-0.065521,-3.754,time
1781809897.712361,1781809897.667094,-1.982058,1.754646,-0.065320,-3.743,time
1781809898.212487,1781809898.167126,-1.961318,1.754329,-0.086963,-4.983,distance
1781809898.462385,1781809898.417145,-1.938947,1.752064,-0.123586,-7.081,distance
1781809898.712337,1781809898.667250,-1.916125,1.749744,-0.150836,-8.642,distance
1781809898.962379,1781809898.917069,-1.895343,1.746327,-0.184836,-10.590,distance
1781809899.165289,1781809899.117151,-1.873083,1.742984,-0.220836,-12.653,distance
1781809899.412400,1781809899.367171,-1.849682,1.738772,-0.252928,-14.492,distance
1781809899.762668,1781809899.717093,-1.827018,1.732611,-0.284114,-16.279,distance
1781809899.962385,1781809899.917082,-1.803712,1.729721,-0.306013,-17.533,distance
1781809900.212939,1781809900.167097,-1.781184,1.722256,-0.345342,-19.787,distance
1781809900.412448,1781809900.367096,-1.757846,1.715262,-0.385065,-22.063,distance
1781809900.712397,1781809900.667150,-1.738452,1.707067,-0.419399,-24.030,distance
1781809901.062421,1781809901.017074,-1.717678,1.697435,-0.452695,-25.938,distance
1781809901.312332,1781809901.267265,-1.699572,1.688003,-0.489971,-28.073,distance
1781809901.562370,1781809901.517135,-1.678603,1.677232,-0.534552,-30.628,distance
1781809901.812387,1781809901.767240,-1.659813,1.665782,-0.568092,-32.549,distance
1781809901.962462,1781809901.917033,-1.640870,1.658647,-0.591082,-33.867,distance
1781809902.212384,1781809902.167532,-1.624104,1.647117,-0.621713,-35.622,distance
1781809902.412341,1781809902.367049,-1.601701,1.637605,-0.643715,-36.882,distance
1781809902.662768,1781809902.617097,-1.583906,1.625096,-0.677429,-38.814,distance
1781809902.962426,1781809902.917411,-1.564701,1.612913,-0.712402,-40.818,distance
1781809903.162378,1781809903.117094,-1.542052,1.601948,-0.733622,-42.033,distance
1781809903.562350,1781809903.517040,-1.524644,1.585759,-0.759265,-43.503,distance
1781809903.762523,1781809903.720337,-1.507426,1.571735,-0.766298,-43.906,distance
1781809903.962944,1781809903.917100,-1.491163,1.556075,-0.766730,-43.930,distance
1781809904.162492,1781809904.117065,-1.476661,1.542105,-0.766473,-43.916,distance
1781809904.362340,1781809904.317069,-1.457455,1.532160,-0.763490,-43.745,distance
1781809904.662324,1781809904.617361,-1.442491,1.517844,-0.762808,-43.706,distance
1781809904.912364,1781809904.867107,-1.427506,1.503532,-0.761681,-43.641,distance
1781809905.217254,1781809905.167294,-1.413088,1.486663,-0.768113,-44.010,distance
1781809905.512373,1781809905.467968,-1.397598,1.471409,-0.797436,-45.690,distance
1781809905.762320,1781809905.717510,-1.381646,1.458296,-0.814884,-46.689,distance
1781809906.062383,1781809906.018620,-1.365003,1.440013,-0.856877,-49.095,distance
1781809906.462401,1781809906.417191,-1.350645,1.423878,-0.900948,-51.620,distance
1781809906.762344,1781809906.717321,-1.336063,1.408135,-0.932135,-53.407,distance
1781809907.012438,1781809906.967467,-1.323108,1.390200,-0.967242,-55.419,distance
1781809907.312322,1781809907.267202,-1.313060,1.370370,-1.022609,-58.591,distance
1781809907.612392,1781809907.567453,-1.304396,1.352294,-1.059755,-60.719,distance
1781809907.962451,1781809907.917182,-1.293967,1.333722,-1.090503,-62.481,distance
1781809908.212367,1781809908.167171,-1.284853,1.315687,-1.123001,-64.343,distance
1781809908.412418,1781809908.374273,-1.272488,1.298358,-1.151801,-65.993,distance
1781809908.712371,1781809908.667238,-1.265584,1.278003,-1.199614,-68.733,distance
1781809909.012324,1781809908.967382,-1.257769,1.257132,-1.231517,-70.561,distance
1781809909.312354,1781809909.267234,-1.251191,1.234913,-1.276376,-73.131,distance
1781809909.612328,1781809909.567550,-1.248525,1.212276,-1.314822,-75.334,distance
1781809909.912330,1781809909.867326,-1.244254,1.190515,-1.351815,-77.453,distance
1781809910.162548,1781809910.117236,-1.239992,1.170182,-1.384007,-79.298,distance
1781809910.412337,1781809910.367159,-1.235953,1.150532,-1.424976,-81.645,distance
1781809910.714309,1781809910.667377,-1.232003,1.130223,-1.463083,-83.828,distance
1781809911.062408,1781809911.017474,-1.229821,1.107078,-1.496293,-85.731,distance
1781809911.412398,1781809911.367215,-1.225923,1.086241,-1.542298,-88.367,distance
1781809911.612331,1781809911.567713,-1.227738,1.062539,-1.575905,-90.293,distance
1781809911.812715,1781809911.769506,-1.227972,1.040185,-1.584717,-90.798,distance
1781809912.062367,1781809912.017129,-1.228313,1.016015,-1.585041,-90.816,distance
1781809912.362353,1781809912.317269,-1.226909,0.993018,-1.583237,-90.713,distance
1781809912.612394,1781809912.567240,-1.227150,0.972337,-1.586219,-90.884,distance
1781809913.112388,1781809913.067213,-1.234564,0.952952,-1.646915,-94.361,distance
1781809913.462405,1781809913.417225,-1.240776,0.932161,-1.653841,-94.758,distance
1781809913.712337,1781809913.668376,-1.242647,0.909595,-1.652962,-94.708,distance
1781809914.012382,1781809913.967263,-1.247293,0.890101,-1.651010,-94.596,distance
1781809914.262597,1781809914.217483,-1.248890,0.870094,-1.649816,-94.527,distance
1781809914.562339,1781809914.517190,-1.249191,0.849159,-1.651014,-94.596,distance
1781809915.062349,1781809915.017217,-1.250653,0.830884,-1.649949,-94.535,time
1781809915.562529,1781809915.517115,-1.250656,0.830858,-1.649765,-94.525,time
1781809916.112320,1781809916.067058,-1.250656,0.830858,-1.649518,-94.510,time
1781809916.612343,1781809916.567197,-1.252326,0.809856,-1.647977,-94.422,distance
1781809916.912376,1781809916.867090,-1.254275,0.785561,-1.646065,-94.313,distance
1781809917.162350,1781809917.117815,-1.256764,0.764302,-1.645083,-94.256,distance
1781809917.662833,1781809917.617139,-1.258011,0.758527,-1.644863,-94.244,time
1781809918.212370,1781809918.167062,-1.258011,0.758527,-1.644618,-94.230,time
1781809918.712427,1781809918.667072,-1.258011,0.758527,-1.644855,-94.243,time
1781809919.262370,1781809919.217145,-1.258011,0.758527,-1.644173,-94.204,time
1781809919.762625,1781809919.717129,-1.258011,0.758527,-1.643932,-94.190,time
1781809920.312423,1781809920.267205,-1.258011,0.758527,-1.643751,-94.180,time
1781809920.862388,1781809920.817081,-1.258011,0.758527,-1.643443,-94.162,time
1781809921.362455,1781809921.317054,-1.258011,0.758527,-1.643244,-94.151,time
1781809921.912432,1781809921.867559,-1.258011,0.758527,-1.643007,-94.137,time
1781809922.412448,1781809922.367083,-1.258011,0.758527,-1.642750,-94.123,time
1781809922.912511,1781809922.867503,-1.258011,0.758527,-1.642578,-94.113,time
1781809923.462640,1781809923.417458,-1.258011,0.758527,-1.642392,-94.102,time
1781809923.962328,1781809923.917094,-1.259436,0.738342,-1.639596,-93.942,distance
1781809924.212404,1781809924.167487,-1.260164,0.715218,-1.631462,-93.476,distance
1781809924.462419,1781809924.417416,-1.258866,0.694033,-1.618760,-92.748,distance
1781809924.662346,1781809924.617583,-1.259776,0.674043,-1.612164,-92.370,distance
1781809924.962403,1781809924.917250,-1.264119,0.652443,-1.605058,-91.963,distance
1781809925.262384,1781809925.217563,-1.264839,0.629191,-1.597122,-91.508,distance
1781809925.512607,1781809925.467052,-1.267660,0.608337,-1.599476,-91.643,distance
1781809925.762420,1781809925.717213,-1.268209,0.588238,-1.596572,-91.477,distance
1781809926.162354,1781809926.117107,-1.265572,0.565925,-1.594935,-91.383,distance
1781809926.412332,1781809926.367529,-1.266040,0.545920,-1.592961,-91.270,distance
1781809926.662398,1781809926.618129,-1.266537,0.522618,-1.591030,-91.159,distance
1781809926.912379,1781809926.867327,-1.267135,0.499924,-1.593593,-91.306,distance
1781809927.162410,1781809927.117789,-1.267643,0.476642,-1.591358,-91.178,distance
1781809927.462347,1781809927.417125,-1.266928,0.455507,-1.593468,-91.299,distance
1781809927.712542,1781809927.667406,-1.267378,0.434986,-1.591598,-91.192,distance
1781809928.012393,1781809927.967277,-1.266195,0.413318,-1.586219,-90.884,distance
1781809928.262370,1781809928.217974,-1.266495,0.392910,-1.584402,-90.780,distance
1781809928.512331,1781809928.470947,-1.266762,0.372399,-1.582937,-90.696,distance
1781809928.762333,1781809928.717497,-1.264483,0.351232,-1.577569,-90.388,distance
1781809929.012361,1781809928.967269,-1.264608,0.330195,-1.575733,-90.283,distance
1781809929.362468,1781809929.324261,-1.260870,0.306186,-1.567351,-89.803,distance
1781809929.612363,1781809929.567371,-1.260780,0.284762,-1.565683,-89.707,distance
1781809929.862340,1781809929.817170,-1.258796,0.264437,-1.565503,-89.697,distance
1781809930.162335,1781809930.117128,-1.258651,0.240765,-1.563308,-89.571,distance
1781809930.412521,1781809930.367022,-1.258473,0.219385,-1.561456,-89.465,distance
1781809930.662380,1781809930.617270,-1.257976,0.199325,-1.566543,-89.756,distance
1781809930.962372,1781809930.917358,-1.257855,0.176320,-1.564536,-89.641,distance
1781809931.262389,1781809931.217447,-1.254291,0.154222,-1.553650,-89.018,distance
1781809931.512336,1781809931.467257,-1.253900,0.132542,-1.551524,-88.896,distance
1781809931.762395,1781809931.717676,-1.253453,0.110324,-1.549324,-88.770,distance
1781809932.012392,1781809931.971012,-1.255017,0.086920,-1.545465,-88.549,distance
1781809932.262396,1781809932.217138,-1.254470,0.066116,-1.543334,-88.427,distance
1781809932.562378,1781809932.517240,-1.252117,0.043205,-1.536582,-88.040,distance
1781809932.812403,1781809932.767213,-1.251394,0.022678,-1.534430,-87.916,distance
1781809933.112343,1781809933.067214,-1.247727,0.001407,-1.533109,-87.841,distance
1781809933.362455,1781809933.317656,-1.246887,-0.020423,-1.531398,-87.743,distance
1781809933.612343,1781809933.567072,-1.246074,-0.040621,-1.529634,-87.642,distance
1781809933.812393,1781809933.767045,-1.243071,-0.061028,-1.528342,-87.568,distance
1781809934.062438,1781809934.017118,-1.242120,-0.082946,-1.526057,-87.437,distance
1781809934.312362,1781809934.267268,-1.242845,-0.103472,-1.524254,-87.333,distance
1781809934.562346,1781809934.517122,-1.242346,-0.125571,-1.522140,-87.212,distance
1781809934.812398,1781809934.767245,-1.241261,-0.147563,-1.520572,-87.122,distance
1781809935.012388,1781809934.967190,-1.240159,-0.168744,-1.520935,-87.143,distance
1781809935.262409,1781809935.217041,-1.239145,-0.188722,-1.519120,-87.039,distance
1781809935.512347,1781809935.467251,-1.238075,-0.209042,-1.517143,-86.926,distance
1781809935.812883,1781809935.767076,-1.236498,-0.231562,-1.515816,-86.850,distance
1781809936.112335,1781809936.067140,-1.235200,-0.254766,-1.513729,-86.730,distance
1781809936.412440,1781809936.367100,-1.233784,-0.277845,-1.505264,-86.245,distance
1781809936.662419,1781809936.617049,-1.232254,-0.300875,-1.503094,-86.121,distance
1781809936.912356,1781809936.867092,-1.229115,-0.324066,-1.504969,-86.228,distance
1781809937.162387,1781809937.117133,-1.227688,-0.345443,-1.503069,-86.120,distance
1781809937.462373,1781809937.417161,-1.226111,-0.368371,-1.501529,-86.031,distance
1781809937.712410,1781809937.667153,-1.223154,-0.391505,-1.509091,-86.465,distance
1781809938.062431,1781809938.017090,-1.221903,-0.412553,-1.514285,-86.762,distance
1781809938.362337,1781809938.317090,-1.221168,-0.436005,-1.520007,-87.090,distance
1781809938.612321,1781809938.567092,-1.220025,-0.459506,-1.525724,-87.418,distance
1781809938.862398,1781809938.817114,-1.218991,-0.483668,-1.531475,-87.747,distance
1781809939.062485,1781809939.017152,-1.216846,-0.504158,-1.536046,-88.009,distance
1781809939.312351,1781809939.267106,-1.216140,-0.525763,-1.541431,-88.317,distance
1781809939.562389,1781809939.517179,-1.217513,-0.551911,-1.546983,-88.636,distance
1781809939.812391,1781809939.767164,-1.217073,-0.572220,-1.552501,-88.952,distance
