t,tf_t,x,y,theta,yaw_deg,reason
1781701507.178378,1781701507.141000,-1.992989,3.719968,-1.945708,-111.481,distance
1781701507.380766,1781701507.341376,-2.000006,3.701010,-1.979859,-113.438,distance
1781701507.628366,1781701507.591211,-2.009437,3.682462,-2.017694,-115.605,distance
1781701507.978376,1781701507.941062,-2.017613,3.661450,-2.044109,-117.119,distance
1781701508.278508,1781701508.241105,-2.027138,3.643358,-2.072231,-118.730,distance
1781701508.578437,1781701508.541012,-2.036608,3.625293,-2.102198,-120.447,distance
1781701508.828553,1781701508.791188,-2.047931,3.606602,-2.136628,-122.420,distance
1781701509.128407,1781701509.091187,-2.061918,3.588687,-2.168926,-124.270,distance
1781701509.478363,1781701509.441036,-2.075261,3.572819,-2.203046,-126.225,distance
1781701509.778392,1781701509.741044,-2.089079,3.554517,-2.239698,-128.325,distance
1781701510.128343,1781701510.091272,-2.104065,3.538346,-2.271494,-130.147,distance
1781701510.478455,1781701510.441095,-2.120313,3.523208,-2.314328,-132.601,distance
1781701510.728383,1781701510.691403,-2.134127,3.508544,-2.346179,-134.426,distance
1781701510.978369,1781701510.940979,-2.150667,3.493083,-2.383265,-136.551,distance
1781701511.331697,1781701511.294648,-2.163528,3.477423,-2.418328,-138.560,distance
1781701511.678426,1781701511.641120,-2.179533,3.463624,-2.446293,-140.162,distance
1781701511.928394,1781701511.890984,-2.194433,3.446471,-2.479085,-142.041,distance
1781701512.128394,1781701512.090977,-2.210725,3.434082,-2.514509,-144.071,distance
1781701512.435953,1781701512.391071,-2.229934,3.422349,-2.563085,-146.854,distance
1781701512.978423,1781701512.941006,-2.248930,3.412809,-2.606436,-149.338,distance
1781701513.278402,1781701513.241145,-2.267946,3.404174,-2.648798,-151.765,distance
1781701513.528494,1781701513.491208,-2.287768,3.393898,-2.686810,-153.943,distance
1781701513.778383,1781701513.741130,-2.306472,3.383053,-2.725735,-156.173,distance
1781701514.278384,1781701514.241072,-2.314959,3.378563,-2.741867,-157.097,time
1781701514.728393,1781701514.691276,-2.333746,3.370881,-2.769290,-158.669,distance
1781701515.228468,1781701515.191067,-2.338961,3.367110,-2.784360,-159.532,time
1781701515.778494,1781701515.741071,-2.338961,3.367110,-2.784268,-159.527,time
1781701516.328384,1781701516.291148,-2.338961,3.367110,-2.784337,-159.531,time
1781701516.828486,1781701516.791241,-2.360107,3.359379,-2.794156,-160.093,distance
1781701517.028873,1781701516.991209,-2.383764,3.350802,-2.793048,-160.030,distance
1781701517.278383,1781701517.240992,-2.407495,3.346686,-2.789684,-159.837,distance
1781701517.578471,1781701517.541169,-2.426748,3.339595,-2.787349,-159.703,distance
1781701517.928484,1781701517.891201,-2.448198,3.331642,-2.785532,-159.599,distance
1781701518.178456,1781701518.141007,-2.467753,3.324748,-2.786064,-159.630,distance
1781701518.481013,1781701518.441323,-2.490136,3.316419,-2.784025,-159.513,distance
1781701518.728360,1781701518.691146,-2.508296,3.304975,-2.780064,-159.286,distance
1781701519.028401,1781701518.991202,-2.528437,3.296994,-2.777334,-159.130,distance
1781701519.378555,1781701519.341745,-2.550044,3.288737,-2.775709,-159.036,distance
1781701519.678353,1781701519.641330,-2.573069,3.282512,-2.775455,-159.022,distance
